"cd_geouf","cd_geocmu","regiao","uf","estado","municipio","bioma","arcodesmat","matopiba","mun_ha","pol_ha","pct_areapo","area_ha","classe"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",13.2520862148523,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",10.6794072045922,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",15.2736274281144,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",1.09110582664609,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",27.4100981610682,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",6.12027240554839,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",0.0645567861620337,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",18.8804437421188,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",8.02912106969059,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",0.833393901564926,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",44.115373228319,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",42.164591473683,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",0.064554677271843,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",6.08725623254478,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",1.23563629125357,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",8.20718637791872,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",316.793216681834,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",8.05258524881378,"Pastagem"
"31","3100104","SUDESTE","MG","MINAS GERAIS","ABADIA DOS DOURADOS","CERRADO","0","0","88106.39999999999","87096.36202820000","0.98853615660",0.0604911876834929,"Pastagem"
