"cd_geouf","cd_geocmu","regiao","uf","estado","municipio","bioma","arcodesmat","matopiba","mun_ha","pol_ha","pct_areapo","area_ha","classe","year"
"21","2111052","NORDESTE","MA","MARANHÃO","SÃO JOÃO DO PARAÍSO","CERRADO","1","1","205384.29999999999","205384.28737899999","0.99999993855","60716.32122210","3","2018"
"21","2111573","NORDESTE","MA","MARANHÃO","SÃO PEDRO DOS CRENTES","CERRADO","1","1","97963.10000000001","97358.05783010001","0.99382377477","21594.49820815","15","2018"
"21","2111052","NORDESTE","MA","MARANHÃO","SÃO JOÃO DO PARAÍSO","CERRADO","1","1","205384.29999999999","205384.28737899999","0.99999993855","59595.63436596","4","2018"
"52","5205307","CENTRO-OESTE","GO","GOIÁS","CAVALCANTE","CERRADO","0","0","695366.59999999998","695366.60972800001","1.00000001399","227861.34152520","3","2018"
"52","5205307","CENTRO-OESTE","GO","GOIÁS","CAVALCANTE","CERRADO","0","0","695366.59999999998","695366.60972800001","1.00000001399","134052.10105768","4","2018"
"21","2111763","NORDESTE","MA","MARANHÃO","SENADOR LA ROCQUE","CERRADO","1","1","73854.80000000000","26803.42428720000","0.36292054528","45.92571276","33","2018"
"21","2111763","NORDESTE","MA","MARANHÃO","SENADOR LA ROCQUE","CERRADO","1","1","73854.80000000000","26803.42428720000","0.36292054528","6189.57783762","3","2018"
"21","2111763","NORDESTE","MA","MARANHÃO","SENADOR LA ROCQUE","CERRADO","1","1","73854.80000000000","26803.42428720000","0.36292054528","2149.07809844","4","2018"
"21","2111763","NORDESTE","MA","MARANHÃO","SENADOR LA ROCQUE","CERRADO","1","1","73854.80000000000","26803.42428720000","0.36292054528","26.07822768","12","2018"
"21","2111763","NORDESTE","MA","MARANHÃO","SENADOR LA ROCQUE","CERRADO","1","1","73854.80000000000","26803.42428720000","0.36292054528","260.77520732","13","2018"
"21","2111763","NORDESTE","MA","MARANHÃO","SENADOR LA ROCQUE","CERRADO","1","1","73854.80000000000","26803.42428720000","0.36292054528","15730.02645945","15","2018"
"21","2111052","NORDESTE","MA","MARANHÃO","SÃO JOÃO DO PARAÍSO","CERRADO","1","1","205384.29999999999","205384.28737899999","0.99999993855","9.59231395","9","2018"
"21","2111052","NORDESTE","MA","MARANHÃO","SÃO JOÃO DO PARAÍSO","CERRADO","1","1","205384.29999999999","205384.28737899999","0.99999993855","31773.44702495","12","2018"
"21","2111763","NORDESTE","MA","MARANHÃO","SENADOR LA ROCQUE","CERRADO","1","1","73854.80000000000","26803.42428720000","0.36292054528","200.97256643","24","2018"
"21","2111763","NORDESTE","MA","MARANHÃO","SENADOR LA ROCQUE","CERRADO","1","1","73854.80000000000","26803.42428720000","0.36292054528","27.23535626","25","2018"
"17","1721109","NORTE","TO","TOCANTINS","TOCANTÍNIA","CERRADO","0","1","260160.29999999999","259927.19922700000","0.99910401098","108.61192957","20","2018"
"21","2111573","NORDESTE","MA","MARANHÃO","SÃO PEDRO DOS CRENTES","CERRADO","1","1","97963.10000000001","97358.05783010001","0.99382377477","184.51811730","19","2018"
"21","2111573","NORDESTE","MA","MARANHÃO","SÃO PEDRO DOS CRENTES","CERRADO","1","1","97963.10000000001","97358.05783010001","0.99382377477","74.93184321","24","2018"
"21","2111573","NORDESTE","MA","MARANHÃO","SÃO PEDRO DOS CRENTES","CERRADO","1","1","97963.10000000001","97358.05783010001","0.99382377477","355.22350338","25","2018"
"17","1718899","NORTE","TO","TOCANTINS","SANTA RITA DO TOCANTINS","CERRADO","1","1","327494.79999999999","326985.26912499999","0.99844415583","65.87844304","24","2018"
"17","1720804","NORTE","TO","TOCANTINS","SÍTIO NOVO DO TOCANTINS","CERRADO","1","1","32409.60000000000","32409.64761070000","1.00000146903","117.98900410","33","2018"
"17","1720804","NORTE","TO","TOCANTINS","SÍTIO NOVO DO TOCANTINS","CERRADO","1","1","32409.60000000000","32409.64761070000","1.00000146903","8454.21696734","3","2018"
"17","1720804","NORTE","TO","TOCANTINS","SÍTIO NOVO DO TOCANTINS","CERRADO","1","1","32409.60000000000","32409.64761070000","1.00000146903","1950.52157119","4","2018"
"17","1720804","NORTE","TO","TOCANTINS","SÍTIO NOVO DO TOCANTINS","CERRADO","1","1","32409.60000000000","32409.64761070000","1.00000146903","91.20369402","12","2018"
"17","1720804","NORTE","TO","TOCANTINS","SÍTIO NOVO DO TOCANTINS","CERRADO","1","1","32409.60000000000","32409.64761070000","1.00000146903","280.89932842","13","2018"
"17","1720804","NORTE","TO","TOCANTINS","SÍTIO NOVO DO TOCANTINS","CERRADO","1","1","32409.60000000000","32409.64761070000","1.00000146903","21361.41109273","15","2018"
"17","1720804","NORTE","TO","TOCANTINS","SÍTIO NOVO DO TOCANTINS","CERRADO","1","1","32409.60000000000","32409.64761070000","1.00000146903","1.60170884","19","2018"
"17","1720804","NORTE","TO","TOCANTINS","SÍTIO NOVO DO TOCANTINS","CERRADO","1","1","32409.60000000000","32409.64761070000","1.00000146903","119.32590561","24","2018"
"52","5205307","CENTRO-OESTE","GO","GOIÁS","CAVALCANTE","CERRADO","0","0","695366.59999999998","695366.60972800001","1.00000001399","4.43187062","9","2018"
"52","5205307","CENTRO-OESTE","GO","GOIÁS","CAVALCANTE","CERRADO","0","0","695366.59999999998","695366.60972800001","1.00000001399","289861.89130765","12","2018"
"21","2111052","NORDESTE","MA","MARANHÃO","SÃO JOÃO DO PARAÍSO","CERRADO","1","1","205384.29999999999","205384.28737899999","0.99999993855","106.68059677","19","2018"
"21","2111052","NORDESTE","MA","MARANHÃO","SÃO JOÃO DO PARAÍSO","CERRADO","1","1","205384.29999999999","205384.28737899999","0.99999993855","125.98145243","24","2018"
"21","2111052","NORDESTE","MA","MARANHÃO","SÃO JOÃO DO PARAÍSO","CERRADO","1","1","205384.29999999999","205384.28737899999","0.99999993855","453.19014327","25","2018"
"17","1721109","NORTE","TO","TOCANTINS","TOCANTÍNIA","CERRADO","1","1","260160.29999999999","233.12816378300","0.00089609431","228.45031142","33","2018"
"17","1721109","NORTE","TO","TOCANTINS","TOCANTÍNIA","CERRADO","1","1","260160.29999999999","233.12816378300","0.00089609431","0.88155199","3","2018"
"17","1721109","NORTE","TO","TOCANTINS","TOCANTÍNIA","CERRADO","1","1","260160.29999999999","233.12816378300","0.00089609431","1.05788636","4","2018"
"17","1721109","NORTE","TO","TOCANTINS","TOCANTÍNIA","CERRADO","1","1","260160.29999999999","233.12816378300","0.00089609431","1.23424852","12","2018"
"52","5205307","CENTRO-OESTE","GO","GOIÁS","CAVALCANTE","CERRADO","0","0","695366.59999999998","695366.60972800001","1.00000001399","31307.34244835","15","2018"
"17","1720804","NORTE","TO","TOCANTINS","SÍTIO NOVO DO TOCANTINS","CERRADO","1","1","32409.60000000000","32409.64761070000","1.00000146903","31.76690062","25","2018"
"17","1721257","NORTE","TO","TOCANTINS","TUPIRAMA","CERRADO","1","1","71220.60000000001","71216.04336610000","0.99993602084","1659.56076364","33","2018"
