"cd_geouf","cd_geocmu","regiao","uf","estado","municipio","bioma","arcodesmat","matopiba","mun_ha","pol_ha","pct_areapo","area_ha","classe","year"
"17","1714880","NORTE","TO","TOCANTINS","NOVA OLINDA","CERRADO","1","1","156618.39999999999","108540.03679899999","0.69302225536","20243.49074132","12","2018"
"17","1713205","NORTE","TO","TOCANTINS","MIRACEMA DO TOCANTINS","CERRADO","1","1","265609.00000000000","265444.49345800001","0.99938064395","648.17731773","24","2018"
"17","1713205","NORTE","TO","TOCANTINS","MIRACEMA DO TOCANTINS","CERRADO","1","1","265609.00000000000","265444.49345800001","0.99938064395","1389.18851799","25","2018"
"17","1716505","NORTE","TO","TOCANTINS","PEDRO AFONSO","CERRADO","1","1","201090.20000000001","169.90400956400","0.00084491442","129.88395782","33","2018"
"17","1716505","NORTE","TO","TOCANTINS","PEDRO AFONSO","CERRADO","1","1","201090.20000000001","169.90400956400","0.00084491442","1.94329735","25","2018"
"17","1718501","NORTE","TO","TOCANTINS","RECURSOLÂNDIA","CERRADO","1","1","221666.29999999999","27511.54783690000","0.12411245118","6768.79770750","3","2018"
"17","1718501","NORTE","TO","TOCANTINS","RECURSOLÂNDIA","CERRADO","1","1","221666.29999999999","27511.54783690000","0.12411245118","9361.35233865","4","2018"
"17","1718501","NORTE","TO","TOCANTINS","RECURSOLÂNDIA","CERRADO","1","1","221666.29999999999","27511.54783690000","0.12411245118","10127.87405770","12","2018"
"17","1718501","NORTE","TO","TOCANTINS","RECURSOLÂNDIA","CERRADO","1","1","221666.29999999999","27511.54783690000","0.12411245118","1058.88157725","15","2018"
"17","1716505","NORTE","TO","TOCANTINS","PEDRO AFONSO","CERRADO","1","1","201090.20000000001","169.90400956400","0.00084491442","24.45901833","3","2018"
"17","1716505","NORTE","TO","TOCANTINS","PEDRO AFONSO","CERRADO","1","1","201090.20000000001","169.90400956400","0.00084491442","6.26935831","4","2018"
"17","1716505","NORTE","TO","TOCANTINS","PEDRO AFONSO","CERRADO","1","1","201090.20000000001","169.90400956400","0.00084491442","1.85427482","12","2018"
